index,Home_Away_BIN,PERIOD,GAME_CLOCK,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,Player_3_PTS_ACC,AVG_DEF_STL,AVG _DEF_BLK,SHOT_CLOCK,T,Y
231,1,4,89,0,24.3,3.1,0.254,0.479452055,0.04109589,20.8,1,1
232,1,2,43,2,23.9,5.4,0.39,0.479452055,0.04109589,21.5,1,1
233,0,2,129,1,24.6,4.9,0.4,0.479452055,0.04109589,21.5,1,1
234,0,1,189,0,23.8,6.3,0.379,0.479452055,0.04109589,21.7,1,0
235,0,1,547,0,22.9,9.4,0.358,0.479452055,0.04109589,21.8,1,0
236,1,4,33,1,23.1,3.8,0.409,0.479452055,0.04109589,22.4,1,0
237,1,4,365,8,24.2,4.8,0.304,0.410714286,0.821428571,2.6,0,0
238,1,3,91,1,24.1,5,0.273,0.410714286,0.821428571,3.3,0,0
239,0,1,20,7,24.5,7.1,0.387,0.410714286,0.821428571,3.4,0,0
240,1,2,44,0,23.5,7.5,0.371,0.410714286,0.821428571,6.4,0,0
241,0,4,623,0,25.1,4.5,0.398,0.410714286,0.821428571,17.4,0,1
242,1,4,578,0,23.7,6.9,0.385,0.410714286,0.821428571,8.2,0,1
243,1,4,420,1,23.9,5.8,0.377,0.410714286,0.821428571,11.8,0,0
244,1,3,324,0,22.7,5.3,0.286,0.410714286,0.821428571,10.1,0,1
245,0,2,470,0,26.6,4.7,0.377,0.410714286,0.821428571,17.4,0,0
246,1,1,307,0,24.1,7.4,0.303,0.410714286,0.821428571,11,0,0
247,1,2,275,0,22.4,11.4,0.395,0.410714286,0.821428571,3.7,0,0
248,0,4,344,13,25.9,6.5,0.342,0.410714286,0.821428571,11.5,0,0
249,0,2,37,0,26,5,0.395,0.410714286,0.821428571,12,0,0
250,1,4,459,0,24.9,6.5,0.43,0.410714286,0.821428571,14.7,0,0
251,1,2,633,0,26,7.8,0.416,0.410714286,0.821428571,16.1,0,0
252,1,4,360,0,24.7,5.8,0.368,0.410714286,0.821428571,17.2,0,1
253,0,2,675,0,22.7,20.4,0.283,0.410714286,0.821428571,17.6,0,0
254,0,2,683,0,24.2,17,0.283,0.410714286,0.821428571,18,0,0
255,1,4,477,10,22.6,4.4,0.385,0.173913043,0.652173913,3,0,0
256,0,2,664,0,25.3,15.1,0.438,0.173913043,0.652173913,5.3,0,0
257,0,3,311,0,22.6,10.5,0.361,0.173913043,0.652173913,8.2,0,1
258,1,4,652,0,22.4,6.5,0.419,0.173913043,0.652173913,8.6,0,1
259,1,4,42,0,22.5,7.6,0.207,0.173913043,0.652173913,10.8,0,1
260,0,2,37,15,24.8,4.8,0.366,0.173913043,0.652173913,15,0,0
261,1,3,130,0,25.2,5.2,0.342,0.173913043,0.652173913,15.4,0,0
262,0,2,597,0,24.8,5.4,0.263,0.173913043,0.652173913,16.3,0,0
263,0,1,296,0,24.3,7.8,0.37,0.173913043,0.652173913,17,0,1
264,1,3,365,0,25,9.5,0.33,0.173913043,0.652173913,17,0,1
265,1,3,213,6,23.9,7.7,0.337,0.173913043,0.652173913,18.3,1,1
266,0,3,224,0,23.9,15,0.364,0.173913043,0.652173913,19,1,0
267,1,4,479,0,22.5,6.8,0.4,0.173913043,0.652173913,20.2,1,0
268,1,4,336,0,23.3,5.3,0.358,0.913043478,0.985507246,0.5,0,0
269,0,3,154,0,24.8,2.5,0.341,0.913043478,0.985507246,2,0,1
270,1,2,39,12,25.7,6.4,0.38,0.913043478,0.985507246,2.2,0,0
271,1,4,227,1,22,3.2,0.409,0.913043478,0.985507246,2.3,0,0
272,1,3,38,0,25.5,5.6,0.349,0.913043478,0.985507246,3.5,0,0
273,0,3,212,0,24.3,4.5,0.383,0.913043478,0.985507246,3.9,0,1
274,0,3,6,0,22.8,4.5,0.386,0.913043478,0.985507246,4.4,0,0
275,1,3,12,26,25.2,6.4,0.325,0.913043478,0.985507246,4.4,0,1
276,0,2,113,0,25,10.9,0.308,0.913043478,0.985507246,4.6,0,0
277,1,2,234,0,26.7,6.3,0.358,0.913043478,0.985507246,5,0,0
278,0,3,475,0,22.9,8.6,0.364,0.913043478,0.985507246,5.1,0,1
279,1,3,609,1,24.3,7.5,0.343,0.913043478,0.985507246,5.3,0,1
280,0,1,394,0,22.5,7.1,0.366,0.913043478,0.985507246,10.6,0,1
281,0,3,239,7,24.1,6.3,0.366,0.913043478,0.985507246,17.8,0,1
282,1,1,340,6,24.5,3.4,0.379,0.913043478,0.985507246,6.1,0,1
283,1,2,308,0,23,5.1,0.376,0.913043478,0.985507246,6.9,0,0
284,0,3,283,0,24.2,5.3,0.361,0.913043478,0.985507246,7.2,0,1
